#        LEGENDS ROSTER FILE

#

#    for Pro Football Coach C Achi Jones

#

#    1988    Cincinnati Bengals    Average

#    2000    Baltimore Ravens    Average

#    1979    Pittsburgh Steelers    Average

#    1955    Cleveland Browns    Average

#    1968    New York Jets        Average

#    1991    Buffalo Bills        Average

#    2004    New England Patriots    Average

#    1984    Miami Dolphins        Easy

#    1999    Tennessee Titans    Hard

#    1999    Jacksonville Jaguars    Hard

#    1979    Houston Oilers        Very Hard

#    2006    Indianapolis Colts    Average

#    1998    Denver Broncos        Easy

#    1969    Kansas City Chiefs    Average

#    2006    San Diego Chargers    Very Hard

#    1976    Oakland Raiders        Easy

#    1962    Green Bay Packers    Easy

#    1953    Detroit Lions        Hard

#    1969    Minnesota Vikings    Very Hard

#    1985    Chicago Bears        Easy

#    1971    Dallas Cowboys        Easy

#    1991    Washington Redskins    Easy

#    2004    Philadelphia Eagles    Average

#    1986    New York Giants        Average

#    1998    Atlanta Falcons        Hard

#    2015    Carolina Panthers    Average

#    2002    Tampa Bay Buccaneers    Hard

#    2009    New Orleans Saints    Average

#    2015    Arizona Cardinals    Very Hard

#    1989    San Francisco 49ers    Easy

#    2013    Seattle Seahawks    Average

#    1999    Los Angeles Rams    Easy

#

#Name,Age,Rookie Year,Pot,FIQ,Dur,Attr1,Attr2,Attr3,Money,Years

#

Cincinnati Bengals,CIN

QB,Boomer Esiason,24,2015,102,86,87,99,102,98,7.9,6

QB,Turk Schonert,23,2014,93,80,77,92,91,80,4,4

RB,James Brooks,25,2013,103,88,77,81,81,94,2.4,5

RB,Ickey Woods,23,2016,100,83,84,92,97,83,3.3,5

RB,Stanley Wilson,24,2013,82,82,88,81,90,82,1.1,4

RB,Stanford Jennings,23,2016,88,84,70,86,87,82,1.7,5

WR,Eddie Brown,24,2014,98,80,83,93,99,86,2.4,4

WR,Rodney Holman,24,2015,105,88,85,94,94,86,3.5,5

WR,Tim McGee,23,2014,92,83,76,80,99,81,3.9,4

WR,Cris Collinsworth,25,2013,87,83,73,87,84,81,1.4,4

WR,Ira Hillary,25,2013,86,79,79,88,84,81,1.2,4

WR,Jim Riggs,25,2014,82,81,95,84,90,82,2,4

OL,Bruce Kozerski,23,2016,103,90,86,97,97,91,3.7,4

OL,Anthony Munoz,24,2014,102,82,96,91,96,91,2,4

OL,Bruce Reimers,25,2013,95,86,72,94,86,97,3.4,4

OL,Joe Walter,25,2012,97,84,70,82,99,96,2.7,4

OL,Max Montoya,23,2014,103,82,94,89,85,91,2.3,5

OL,Brian Blados,23,2016,85,76,91,82,84,83,1.2,5

OL,David Douglas,25,2012,87,77,90,84,81,83,1,4

OL,David Grant,25,2012,89,75,73,80,90,89,1.4,4

OL,Curtis Maxey,24,2015,83,76,86,82,85,87,1.9,5

OL,Dave Smith,23,2015,83,84,72,80,86,86,1.4,4

K,Jim Breech,27,2011,115,90,87,101,110,107,1.7,5

K,Scott Fulhage,24,2014,94,89,94,86,85,82,1.5,5

S,David Fulcher,25,2014,85,80,91,100,84,93,2,4

S,Barney Bussey,24,2015,75,76,77,73,74,70,0.5,5

CB,Lewis Billups,24,2013,86,88,87,83,82,75,3,5

CB,Eric Thomas,23,2014,86,81,81,78,77,85,1.6,4

CB,Solomon Wilcots,23,2016,87,88,85,83,85,80,1.6,5

CB,Ellis Dillahunt,25,2014,73,78,73,71,72,70,1.5,4

CB,Rickey Dixon,27,2012,77,71,75,74,70,70,2,4

CB,Ray Horton,26,2012,72,70,87,70,72,72,2,4

DL,Tim Krumrie,23,2015,82,84,74,81,82,81,2.3,4

DL,Skip McClendon,24,2015,88,90,96,78,75,79,1.8,4

DL,Jim Skow,23,2014,88,90,80,77,83,75,2.2,5

DL,Joe Kelly,24,2015,89,81,97,83,76,78,2.3,5

DL,Jason Buck,24,2014,78,72,70,74,70,75,1.2,3

DL,Eddie Edwards,23,2016,73,78,84,73,75,74,1.4,3

DL,Marc Logan,26,2013,71,73,74,70,71,72,1.3,4

DL,Daryl Smith,27,2010,73,73,81,71,75,72,1.7,3

LB,Leon White,25,2013,90,77,86,75,85,83,1.5,4

LB,Reggie Williams,25,2014,85,75,73,80,82,78,1.5,5

LB,Carl Zander,25,2012,80,81,75,84,76,78,2.1,5

LB,Leo Barker,25,2013,75,79,85,72,75,70,1.7,3

LB,Ed Brady,27,2011,80,78,91,74,72,75,1.9,4

LB,Tim Inglis,25,2013,77,72,72,71,75,72,1.8,4

LB,Emanuel King,23,2015,76,80,71,72,75,72,1.8,4

LB,Kevin Walker,23,2016,72,76,76,73,70,74,1.5,4

END_PLAYERS

Baltimore Ravens,BAL

QB,Tony Banks,26,2013,102,88,85,105,104,102,7.6,5

QB,Trent Dilfer,25,2014,86,80,76,90,83,95,3.6,5

RB,Jamal Lewis,25,2013,103,80,93,88,97,94,2.9,4

RB,Priest Holmes,24,2013,94,89,95,84,87,81,3.3,5

RB,Obafemi Ayanbadejo,23,2014,88,76,91,87,89,85,1,4

RB,Ben Coates,24,2015,88,75,79,84,82,87,2.6,4

WR,Shannon Sharpe,25,2014,103,88,89,92,89,94,2.5,4

WR,Qadry Ismail,24,2014,96,87,94,85,89,91,3,4

WR,Travis Taylor,23,2015,92,82,88,100,95,80,2,4

WR,Patrick Johnson,25,2012,87,80,71,89,81,83,1.8,4

